class,cbo,wmc,lcom
com.alibaba.druid.bvt.pool.xa.H2XATest,2,3,0
com.alibaba.druid.pool.DruidPooledCallableStatement,9,232,0
com.alibaba.druid.kylin.KylinDriverSupportTest,2,2,0
com.alibaba.druid.pool.DruidDataSource$DestroyTask,2,3,1
com.alibaba.druid.test.OdpsSelectTest6,5,1,0
com.alibaba.druid.sql.dialect.postgresql.ast.stmt.PGSQLStatement,2,0,0
com.alibaba.druid.bvt.pool.DruidConnectionHolderTest3$Anonymous1,3,1,0
com.alibaba.druid.support.ibatis.SpringIbatisBeanTypeAutoProxyCreator,9,12,6
com.alibaba.druid.bvt.sql.oceanbase.OceanbaseHintTest_Index,4,1,0
com.alibaba.druid.bvt.sql.bigquery.BigQueryDirTest,3,3,3
com.alibaba.druid.bvt.sql.mysql.SQLSelectTest,6,10,36
com.alibaba.druid.bvt.sql.mysql.update.MySqlUpdateTest_11_using,5,1,0
com.alibaba.druid.bvt.filter.wall.WallConfigTest,2,8,28
com.alibaba.druid.proxy.jdbc.PreparedStatementProxy,2,3,3
com.alibaba.druid.sql.ast.statement.SQLAlterOutlineStatement,7,15,48
com.alibaba.druid.postgresql.PG_getCreateTableScriptTest,2,3,1
com.alibaba.druid.mock.MockArray,1,12,66
com.alibaba.druid.bvt.sql.eval.EvalMethodPowerTest,1,5,3
com.alibaba.druid.sql.dialect.redshift.parser.RedshiftCreateTableParser,7,25,6
com.alibaba.druid.bvt.filter.wall.Test01WallProviderCreator,8,3,1
com.alibaba.druid.bvt.pool.dynamic.ConnectPropertiesChangeTest1,4,3,0
com.alibaba.druid.bvt.sql.mysql.createTable.MySqlCreateTableTest135_isString,4,2,0
com.alibaba.druid.sql.dialect.mysql.ast.statement.MySqlShowContributorsStatement,3,1,0
com.alibaba.druid.sql.dialect.postgresql.ast.stmt.PGAlterSchemaStatement,8,10,10
com.alibaba.druid.pool.demo.Demo0,2,2,0
com.alibaba.druid.sql.dialect.oracle.ast.expr.OracleSysdateExpr,5,6,9
com.alibaba.druid.bvt.sql.hive.HiveCreateTableTest_26_struct,3,1,0
com.alibaba.druid.oracle.Oracle_getCreateTableScriptTest,1,2,1
com.alibaba.druid.sql.parser.SQLCreateTableParser,22,69,153
com.alibaba.druid.sql.dialect.odps.parser.OdpsStatementParser,95,326,496
com.alibaba.druid.sql.ast.statement.SQLShowGrantsStatement,4,8,2
com.alibaba.druid.sql.dialect.mysql.ast.statement.MySqlShowSequencesStatement,6,8,3
com.alibaba.druid.bvt.pool.exception.OracleExceptionSorterTest_stmt_setEscapeProcessing,6,5,0
com.alibaba.druid.proxy.jdbc.JdbcParameter,0,4,6
com.alibaba.druid.sql.visitor.functions.Lpad,5,9,0
com.alibaba.druid.sql.dialect.sqlserver.visitor.SQLServerASTVisitorAdapter,2,0,0
com.alibaba.druid.support.ibatis.SqlMapClientImplWrapper,12,39,484
com.alibaba.druid.sql.dialect.oracle.ast.stmt.OracleCreatePackageStatement,6,14,17
com.alibaba.druid.bvt.sql.oracle.select.OracleSelectTest117_bigunion,4,6,1
com.alibaba.druid.stat.MemoryTest$A,0,0,0
com.alibaba.druid.bvt.sql.oracle.insert.OracleInsertTest11,5,1,0
com.alibaba.druid.bvt.sql.oracle.insert.OracleInsertTest10,5,1,0
com.alibaba.druid.bvt.proxy.filter.MergeStatFilterTest,2,4,0
com.alibaba.druid.bvt.sql.mysql.createTable.MySqlCreateTableTest153_collate,4,1,0
com.alibaba.druid.bvt.sql.mysql.createTable.MySqlCreateTableTest130_ads,4,1,0
com.alibaba.druid.bvt.sql.oracle.insert.OracleInsertTest19,5,1,0
com.alibaba.druid.bvt.sql.oracle.insert.OracleInsertTest18,5,1,0
com.alibaba.druid.bvt.sql.oracle.insert.OracleInsertTest17,5,1,0
com.alibaba.druid.bvt.pool.DruidDataSourceTest_lastCreateError$Anonymous1,2,1,0
com.alibaba.druid.bvt.sql.oracle.insert.OracleInsertTest16,5,1,0
com.alibaba.druid.pvt.pool.AsyncCloseTest2$Anonymous1,2,1,0
com.alibaba.druid.bvt.sql.oracle.insert.OracleInsertTest15,5,1,0
com.alibaba.druid.pvt.pool.AsyncCloseTest2$Anonymous2,1,2,0
com.alibaba.druid.sql.ast.statement.SQLDropDatabaseStatement,12,39,125
com.alibaba.druid.bvt.sql.oracle.insert.OracleInsertTest14,5,1,0
com.alibaba.druid.admin.DruidAdminApplication,8,10,3
com.alibaba.druid.bvt.sql.oracle.insert.OracleInsertTest13,5,1,0
com.alibaba.druid.bvt.sql.oracle.insert.OracleInsertTest12,5,1,0
com.alibaba.druid.sql.dialect.oscar.ast.stmt.OscarSelectQueryBlock$ForClause$Option,0,0,0
com.alibaba.druid.bvt.sql.mysql.select.MySqlSelectTest_306_outer_orderby,2,9,36
com.alibaba.druid.bvt.sql.mysql.select.MySqlSelectTest_205_drds_group_concat,4,1,0
com.alibaba.druid.proxy.jdbc.ClobProxy,1,2,1
com.alibaba.druid.bvt.pool.DruidDataSourceTest_lastCreateError,3,5,0
com.alibaba.druid.sql.dialect.postgresql.ast.expr.PGExpr,2,0,0
com.alibaba.druid.sql.dialect.postgresql.ast.expr.PGAttrExpr,7,21,0
com.alibaba.druid.bvt.pool.SpringMybatisFilterTest$UserMapper,4,2,1
com.alibaba.druid.bvt.filter.wall.oracle.OracleWallPermitSchemaTest,1,2,1
com.alibaba.druid.sql.ast.expr.SQLBooleanExpr$Type,0,0,0
com.alibaba.druid.bvt.sql.mysql.param.MySqlParameterizedOutputVisitorTest_38_1,6,1,0
com.alibaba.druid.sql.dialect.mysql.ast.statement.MySqlShowNodeStatement,6,8,3
com.alibaba.druid.filter.stat.StatFilter,30,202,3028
com.alibaba.druid.sql.dialect.oracle.ast.stmt.OracleAlterTableModify,3,5,0
com.alibaba.druid.bvt.filter.wall.TenantDeleteTest,4,2,0
com.alibaba.druid.pool.TestPoolStatement,3,6,0
com.alibaba.druid.benckmark.sql.MySqlPerfTest,5,6,0
com.alibaba.druid.bvt.filter.wall.WallStatTest_blackList_1,4,6,6
com.alibaba.druid.bvt.sql.oracle.OracleDropPackageTest,4,1,0
com.alibaba.druid.pool.ManagedDataSource,0,4,6
com.alibaba.druid.bvt.filter.StatFilterOpenReaderCountTest$Anonymous1,3,2,1
com.alibaba.druid.bvt.sql.mysql.show.MySqlShowTest_14_slow,3,1,0
com.alibaba.druid.sql.ast.statement.SQLAlterMaterializedViewStatement,8,34,363
com.alibaba.druid.sql.ast.expr.SQLBinaryOpExprGroup,9,42,0
com.alibaba.druid.sql.dialect.impala.parser.ImpalaLexer,4,3,3
com.alibaba.druid.sql.dialect.sqlserver.ast.SQLServerStatement,2,0,0
com.alibaba.druid.sql.ast.statement.SQLDropResourceGroupStatement,6,11,14
com.alibaba.druid.bvt.pool.DruidDataSourceTest_notEmptyWait2$Anonymous2,0,2,0
com.alibaba.druid.bvt.pool.DruidDataSourceC3P0AdapterTest,3,21,0
com.alibaba.druid.bvt.pool.DruidDataSourceTest_notEmptyWait2$Anonymous1,0,2,0
com.alibaba.druid.sql.dialect.oscar.ast.stmt.OscarUpdateStatement,6,7,8
com.alibaba.druid.bvt.pool.DruidDataSourceShrinkTest,4,4,0
com.alibaba.druid.admin.model.ServiceNode,1,0,0
com.alibaba.druid.bvt.sql.postgresql.expr.LineSegmentsTest,3,1,0
com.alibaba.druid.sql.ast.expr.SQLNumberExpr,9,36,12
com.alibaba.druid.pool.ha.node.NodeEvent,3,23,42
com.alibaba.druid.bvt.sql.mysql.alterTable.MySqlAlterTableTest_drop_constraint,4,1,0
com.alibaba.druid.sql.parser.LateralViewTest,5,3,3
com.alibaba.druid.benckmark.wall.WallBenchmarkTest,4,4,0
com.alibaba.druid.bvt.pool.TestOraclePrefetch,6,3,0
com.alibaba.druid.bvt.filter.wall.oracle.OracleWallResourceTest,5,4,3
com.alibaba.druid.bvt.pool.OnFatalErrorMaxActiveTest,4,5,0
com.alibaba.druid.bvt.pool.TestOnBorrowFileAndNameTest,3,3,0
com.alibaba.druid.bvt.sql.odps.OdpsAlterTableSetCommentTest,1,1,0
com.alibaba.druid.sql.ast.SQLMapDataType,7,29,218
com.alibaba.druid.bvt.sql.mysql.Kill_Test,5,6,10
com.alibaba.druid.test.QuartzTest,3,3,0
com.alibaba.druid.bvt.sql.odps.issues.Issue4933,2,1,0
com.alibaba.druid.benckmark.FnvHashTest,4,7,4
com.alibaba.druid.pool.ha.node.ZookeeperNodeListenerTest,11,13,0
com.alibaba.druid.pool.ha.node.FileNodeListener$Anonymous1,1,4,0
com.alibaba.druid.sql.dialect.mysql.ast.statement.MysqlShowCreateFullTextStatement,5,6,6
com.alibaba.druid.bvt.pool.TestOracleWall,3,3,0
com.alibaba.druid.sql.ast.statement.SQLAlterTableExchangePartition,8,12,22
com.alibaba.druid.bvt.sql.db2.DB2SelectTest_25_concat,6,1,0
com.alibaba.druid.sql.dialect.hologres.parser.HologresExprParser,4,2,1
com.alibaba.druid.sql.dialect.mysql.ast.statement.MySqlShowTraceStatement,6,8,3
com.alibaba.druid.sql.dialect.impala.ast.ImpalaSQLPartitionValue,2,12,29
com.alibaba.druid.bvt.pool.DruidDataSourceTest_exceptionSorter_extend$SubDriver,1,1,0
com.alibaba.druid.sql.ast.statement.SQLForeignKeyConstraint,5,5,10
com.alibaba.druid.bvt.pool.basic.PoolablePreparedStatementTest,10,41,0
com.alibaba.druid.sql.dialect.mysql.ast.statement.SQLAlterResourceGroupStatement,5,11,3
com.alibaba.druid.bvt.sql.mysql.select.MySqlSelectTest_169_not_in,3,1,0
com.alibaba.druid.bvt.filter.wall.WallSelectLimitTest,9,6,0
com.alibaba.druid.support.opds.udf.SqlParamsFill,5,6,3
com.alibaba.druid.bvt.sql.hive.HiveSelectTest_45_issue_3987,2,1,0
com.alibaba.druid.bvt.sql.hive.HiveCreateTableTest_43_dla,2,1,0
com.alibaba.druid.bvt.pool.exception.OracleExceptionSorterTest_stmt_execute,6,5,0
com.alibaba.druid.sql.builder.SQLFunctionBuilder,4,15,34
com.alibaba.druid.bvt.sql.mysql.select.MySqlSelectTest_POSITION,8,1,0
com.alibaba.druid.bvt.sql.oracle.create.OracleCreateIndexTest18_global,4,1,0
com.alibaba.druid.pool.vendor.MockExceptionSorter,3,3,3
com.alibaba.druid.sql.repository.SchemaResolveVisitorFactory,75,413,465
com.alibaba.druid.bvt.sql.mysql.select.MySqlSelectTest_49_for_update_no_wait,4,1,0
com.alibaba.druid.sql.dialect.oracle.ast.stmt.OracleDropDbLinkStatement,4,6,2
com.alibaba.druid.sql.visitor.SchemaStatVisitor$MySqlOrderByStatVisitor,6,6,8
com.alibaba.druid.sql.dialect.oracle.visitor.OracleEvalVisitor,15,23,237
com.alibaba.druid.bvt.pool.CreateSchedulerTest_directCreate,5,7,0
com.alibaba.druid.sql.dialect.spark.parser.SparkLexer,3,3,3
com.alibaba.druid.bvt.sql.db2.DB2AlterTableTest_2,3,1,0
com.alibaba.druid.bvt.sql.mysql.SQLUtilsAddColumnTest,1,3,3
com.alibaba.druid.bvt.sql.mysql.param.MySqlParameterizedOutputVisitorTest_60_in,1,4,6
com.alibaba.druid.bvt.pool.DruidDataSourceTest7$Anonymous1,2,1,0
com.alibaba.druid.bvt.sql.eval.EvalTest_add,1,4,6
