class,cbo,wmc,lcom
org.nlpcn.es4sql.query.join.ESHashJoinQueryAction,12,21,28
org.nlpcn.es4sql.SearchDao,3,4,0
org.elasticsearch.join.aggregations.ChildrenAggregationBuilder,20,26,64
org.elasticsearch.plugin.nlpcn.MinusOneFieldAndOptimizationResult,1,3,0
org.elasticsearch.plugin.nlpcn.UnionExecutor,9,13,4
org.nlpcn.es4sql.query.maker.QueryMaker,10,24,10
org.nlpcn.es4sql.parse.SqlParser,43,102,406
org.nlpcn.es4sql.spatial.CellFilterParams,1,5,0
org.nlpcn.es4sql.parse.CastParser$DataType,0,0,0
org.nlpcn.es4sql.exception.SqlParseException,0,1,0
org.nlpcn.es4sql.MainTestSuite,40,27,0
org.nlpcn.es4sql.WktToGeoJsonConverterTests,2,21,210
org.nlpcn.es4sql.SQLFunctionsTest,19,27,141
org.nlpcn.es4sql.jdbc.ObjectResult,0,3,0
org.nlpcn.es4sql.domain.hints.HintType,0,0,0
org.elasticsearch.aggregations.pipeline.MovFnPipelineAggregationBuilder,18,35,44
org.nlpcn.es4sql.query.join.TableInJoinRequestBuilder,3,11,45
org.nlpcn.es4sql.query.multi.MultiQueryRequestBuilder,11,20,75
org.nlpcn.es4sql.parse.CastParser,5,11,0
org.nlpcn.es4sql.domain.Query,3,15,33
org.nlpcn.es4sql.CSVResultsExtractorTests,8,29,378
org.nlpcn.es4sql.TestsConstants,0,0,0
org.elasticsearch.plugin.nlpcn.SqlPlug,25,5,10
org.nlpcn.es4sql.query.SqlElasticRequestBuilder,3,4,6
org.elasticsearch.plugin.nlpcn.ElasticUtils,9,6,1
org.nlpcn.es4sql.parse.SelectParser,0,0,0
org.nlpcn.es4sql.query.ShowQueryAction,5,6,0
com.alibaba.druid.pool.ElasticSearchConnection,4,56,1532
org.elasticsearch.reindex.BulkIndexByScrollResponseContentListener,8,8,1
com.zhongshu.ZhongshuTest,7,23,0
org.elasticsearch.plugin.nlpcn.executors.CSVResultsExtractor,24,95,137
org.nlpcn.es4sql.parse.NestedType,12,24,3
org.nlpcn.es4sql.MethodQueryTest,5,5,10
org.nlpcn.es4sql.query.join.NestedLoopsElasticRequestBuilder,4,9,3
org.nlpcn.es4sql.spatial.RangeDistanceFilterParams,2,3,1
com.alibaba.druid.pool.ElasticSearchResultSet,5,227,17212
org.nlpcn.es4sql.query.maker.AggMaker,41,223,192
org.nlpcn.es4sql.parse.WhereParser,37,139,57
org.nlpcn.es4sql.domain.hints.Hint,1,3,0
org.elasticsearch.plugin.nlpcn.GetIndexRequestRestListener,10,14,8
org.elasticsearch.plugin.nlpcn.HashJoinComparisonStructure,3,10,0
com.alibaba.druid.pool.ElasticSearchDruidPooledConnection,6,10,6
org.elasticsearch.plugin.nlpcn.NestedLoopsElasticExecutor,19,40,0
com.alibaba.druid.pool.ElasticSearchDruidDataSource$CreateConnectionTask,3,35,4
org.elasticsearch.plugin.nlpcn.SearchHitsResult,1,6,0
org.nlpcn.es4sql.domain.From,0,12,10
org.nlpcn.es4sql.domain.Paramer,16,55,0
org.nlpcn.es4sql.domain.SearchResult,15,25,31
com.alibaba.druid.pool.ElasticSearchDruidDataSource$DestroyTask,1,3,1
org.elasticsearch.plugin.nlpcn.ComperableHitResult,3,13,3
org.nlpcn.es4sql.query.DefaultQueryAction,22,42,0
org.nlpcn.es4sql.Util,28,79,171
org.nlpcn.es4sql.parse.ScriptFilter,6,20,0
org.nlpcn.es4sql.DeleteTest,9,4,6
org.elasticsearch.plugin.nlpcn.executors.CSVResult,0,5,0
