class,cbo,wmc,lcom
com.iluwatar.databus.data.StoppingData,5,1,0
com.iluwatar.servant.Servant,1,5,10
com.iluwatar.RegisterWorkerForm,4,5,0
com.iluwatar.leaderelection.ring.RingMessageManager,3,5,10
com.iluwatar.typeobject.Candy,4,1,0
com.iluwatar.transactionscript.RoomTest,3,8,0
com.iluwatar.execute.around.FileWriterAction,0,1,0
com.iluwatar.fanout.fanin.FanOutFanInTest,4,1,0
com.iluwatar.leaderfollowers.TaskHandler,2,1,0
com.iluwatar.singleton.InitializingOnDemandHolderIdiomTest,2,1,0
com.iluwatar.monitor.MainTest,3,2,1
com.iluwatar.pageobject.AlbumPage,10,13,0
com.iluwatar.hexagonal.sampledata.SampleData,8,4,1
com.iluwatar.visitor.SoldierTest,3,2,1
com.iluwatar.balking.WashingMachineTest,4,2,1
entity.Cake,9,3,1
com.iluwatar.monostate.App,2,1,0
com.iluwatar.contect.object.AppTest,2,1,0
com.iluwatar.objectmother.RoyaltyObjectMother,2,6,15
com.iluwatar.repository.AnnotationBasedRepositoryTest,12,10,0
com.iluwatar.component.component.graphiccomponent.GraphicComponent,1,1,0
com.iluwatar.twin.App,3,2,1
com.iluwatar.cqrs.commandes.CommandService,0,7,21
com.iluwatar.versionnumber.BookDuplicateException,0,1,0
com.iluwatar.saga.orchestration.SagaOrchestrator$CurrentState,0,7,0
com.iluwatar.factorykit.Axe,1,1,0
com.iluwatar.specification.selector.MassSelectorTest,4,1,0
com.iluwatar.transactionscript.Room,5,0,0
com.iluwatar.information.microservice.InformationApplication,2,1,0
com.iluwatar.image.microservice.ImageController,3,1,0
com.iluwatar.templatemethod.SubtleMethodTest,2,1,0
com.iluwatar.ambassador.Client,2,1,0
com.iluwatar.trampoline.TrampolineAppTest,3,1,0
com.iluwatar.compositeentity.CoarseGrainedObject,2,2,0
com.iluwatar.dao.CustomException,0,1,0
com.iluwatar.front.controller.CommandTest,6,4,0
com.iluwatar.intercepting.filter.Target$TargetListener,0,2,0
com.iluwatar.twin.BallItemTest$InMemoryAppender,3,4,0
com.iluwatar.presentationmodel.PresentationTest,2,10,39
com.iluwatar.spatialpartition.SpatialPartitionBubbles,5,2,0
com.iluwatar.metamapping.model.User,3,2,1
com.iluwatar.servant.King,1,8,2
com.iluwatar.throttling.BarCustomer,2,2,0
com.iluwatar.compositeentity.ConsoleCoarseGrainedObject,4,2,1
com.iluwatar.gameloop.GameStatus,0,0,0
com.iluwatar.servicelayer.hibernate.HibernateUtil,7,5,1
com.iluwatar.gameloop.App,5,2,0
com.iluwatar.parameter.object.ParameterObjectTest,5,2,0
com.iluwatar.doubledispatch.GameObject,8,7,21
com.iluwatar.aggregator.microservices.Product,2,0,0
com.iluwatar.state.State,0,2,1
com.iluwatar.privateclassdata.App,2,1,0
com.iluwatar.event.aggregator.LordBaelish,4,4,3
com.iluwatar.strategy.DragonSlayingStrategyTest$InMemoryAppender,3,4,0
com.iluwatar.abstractfactory.KingdomFactory,3,3,3
com.iluwatar.retry.RetryTest,4,6,3
com.iluwatar.sharding.HashShardManagerTest,6,2,0
com.iluwatar.singleton.IvoryTower,1,2,0
com.iluwatar.caching.UserAccount,4,0,0
com.iluwatar.templatemethod.HalflingThiefTest,3,2,1
com.iluwatar.front.controller.FrontControllerTest,9,4,0
