class,cbo,wmc,lcom
com.baiyi.opscloud.common.exception.auth.AuthenticationException,4,3,0
com.baiyi.opscloud.datasource.gitlab.client.GitLabApiBuilder,3,2,1
com.baiyi.opscloud.facade.template.factory.TemplateFactory,3,3,0
com.baiyi.opscloud.leo.domain.model.LeoRuleModel$DateExpression,8,3,1
com.baiyi.opscloud.domain.generator.opscloud.ServerGroupType,8,0,0
com.baiyi.opscloud.domain.vo.leo.LeoDeployingVO$PodDetails,9,2,1
com.baiyi.opscloud.domain.vo.base.ReportVO$CommonReport,3,0,0
com.baiyi.opscloud.domain.vo.business.IBusinessPermissionUser,2,1,0
com.baiyi.opscloud.datasource.dingtalk.entity.DingtalkResponse$BaseMsg,1,0,0
com.baiyi.opscloud.datasource.jenkins.entity.JenkinsUser$Permission,3,0,0
com.baiyi.opscloud.domain.param.server.ServerParam,3,0,0
com.baiyi.opscloud.controller.http.ExampleController,8,1,0
com.baiyi.opscloud.domain.constants.DsAssetTypeConstants,1,0,0
com.baiyi.opscloud.domain.param.user.UserBusinessPermissionParam$BusinessPermissionUserPageQuery,11,0,0
com.baiyi.opscloud.facade.application.impl.ApplicationAlertHelper,11,3,1
com.baiyi.opscloud.domain.model.SshCredential,4,0,0
com.baiyi.opscloud.mapper.UserCredentialMapper,1,0,0
com.baiyi.opscloud.datasource.gitlab.feign.GitLabUserFeign,2,1,0
com.baiyi.opscloud.zabbix.v5.entity.ZabbixAction$QueryActionResponse,4,0,0
com.baiyi.opscloud.domain.constants.EventActionTypeEnum,0,0,0
com.baiyi.opscloud.datasource.aliyun.converter.DmsAssetConverter,2,1,0
com.baiyi.opscloud.datasource.aws.provider.AwsIamPolicyProvider,15,9,34
org.apache.guacamole.websocket.GuacamoleWebSocketTunnelEndpoint,19,16,14
com.baiyi.opscloud.domain.vo.workorder.WorkOrderReportVO,0,0,0
com.baiyi.opscloud.datasource.metersphere.entity.LeoHookResult$Result,7,0,0
com.baiyi.opscloud.domain.constants.BusinessTypeEnum,2,4,0
org.apache.guacamole.net.AbstractGuacamoleTunnel,4,9,12
com.baiyi.opscloud.datasource.kubernetes.provider.KubernetesNodeProvider,16,8,28
com.baiyi.opscloud.packer.user.UserPermissionPacker,13,6,1
com.baiyi.opscloud.domain.param.server.ServerParam$AddServer,6,0,0
com.baiyi.opscloud.common.configuration.ThreadPoolTaskConfiguration$TaskPools,0,0,0
com.baiyi.opscloud.domain.builder.asset.AssetContainer,8,0,0
com.baiyi.opscloud.workorder.constants.OrderTicketStatusConstants,1,1,0
com.baiyi.opscloud.common.datasource.KubernetesConfig$Kubeconfig,3,0,0
com.baiyi.opscloud.domain.vo.application.ApplicationVO$ArmsTraceApp,4,0,0
com.baiyi.opscloud.facade.server.impl.ServerTest,6,2,0
com.baiyi.opscloud.datasource.business.server.factory.ServerGroupHandlerFactory,1,3,0
com.baiyi.opscloud.datasource.metersphere.entity.LeoBuildHook,11,2,0
org.apache.guacamole.GuacamoleClientException,2,4,6
com.baiyi.opscloud.datasource.business.account.AccountHandlerFactory,1,3,0
com.baiyi.opscloud.domain.vo.leo.LeoBuildVO$BranchOrTag,5,1,0
com.baiyi.opscloud.domain.param.server.ServerAccountParam$ServerAccount,4,0,0
com.baiyi.opscloud.guacamole.protocol.IGuacamoleProtocol,2,2,1
com.baiyi.opscloud.packer.sys.MenuPacker,16,15,49
com.baiyi.opscloud.datasource.huaweicloud.ecs.driver.HuaweicloudVpcDriver,9,3,1
com.baiyi.opscloud.datasource.consul.driver.ConsulServiceDriver,11,3,3
com.baiyi.opscloud.datasource.aliyun.ons.entity.OnsRocketMqGroup,1,0,0
com.baiyi.opscloud.facade.sys.impl.EnvFacadeImpl,10,6,4
com.baiyi.opscloud.leo.converter.JenkinsPipelineConverter$Results,0,0,0
com.baiyi.opscloud.domain.param.auth.AuthRoleParam$Role,3,0,0
com.baiyi.opscloud.zabbix.v5.entity.ZabbixLogin$LoginAuth,1,0,0
com.baiyi.opscloud.domain.model.message.ITerminalSize,1,4,6
com.baiyi.opscloud.workorder.processor.impl.AwsIamUpdateLoginProfileTicketProcessor,13,5,6
com.baiyi.opscloud.otp.OtpUtil,4,7,7
com.baiyi.opscloud.datasource.ansible.recorder.TaskLogStorehouse,7,4,6
com.baiyi.opscloud.facade.datasource.instance.GitlabFacadeTest,5,2,0
com.baiyi.opscloud.datasource.nacos.entity.NacosCluster,1,0,0
com.baiyi.opscloud.facade.leo.LeoTemplateFacade,5,7,21
com.baiyi.opscloud.common.datasource.DingtalkConfig$Dingtalk,4,0,0
com.baiyi.opscloud.domain.param.datasource.AliyunLogMemberParam$AddLogMember,4,0,0
com.baiyi.opscloud.aspect.RevokeUserPermissionAspect,13,9,3
com.baiyi.opscloud.tencent.exmail.driver.TencentExmailTokenDriver,9,1,0
com.baiyi.opscloud.common.datasource.AliyunDevopsConfig,4,0,0
com.baiyi.opscloud.leo.domain.model.LeoJobModel$Version,4,0,0
com.baiyi.opscloud.service.sys.impl.MenuServiceImpl,6,6,0
com.baiyi.opscloud.datasource.sonar.param.PagingParam,3,1,0
com.baiyi.opscloud.service.workorder.WorkOrderTicketNodeService,1,7,21
com.baiyi.opscloud.sshserver.SshShellHelper$DisplayResult,1,0,0
com.baiyi.opscloud.zabbix.v5.entity.ZabbixUserGroup,2,0,0
com.baiyi.opscloud.domain.vo.finops.KubernetesFinOpsVO$FinOpsReport,8,1,0
com.baiyi.opscloud.domain.vo.leo.LeoReportVO$MonthReport,7,1,0
com.baiyi.opscloud.packer.datasource.DsAssetPacker,17,15,7
com.baiyi.opscloud.datasource.jenkins.model.QueueItem,6,55,41
com.baiyi.opscloud.mapper.TerminalSessionInstanceCommandMapper,2,2,1
com.baiyi.opscloud.event.handler.base.AbstractEventHandler,21,20,66
com.baiyi.opscloud.finops.KubernetesFinOpsReportFacadeTest,5,1,0
com.baiyi.opscloud.leo.parser.GradleParser,4,6,3
com.baiyi.opscloud.mapper.ProjectMapper,4,2,1
com.baiyi.opscloud.workorder.query.factory.WorkOrderTicketEntryQueryFactory,2,2,0
com.baiyi.opscloud.common.util.FunctionUtil,4,12,15
com.baiyi.opscloud.sshserver.postprocess.provided.GrepPostProcessor,3,13,6
com.baiyi.opscloud.terminal.handler.AbstractServerTerminalHandler,10,3,3
com.baiyi.opscloud.datasource.sonar.entity.base.BaseSonarElement$Component,3,0,0
com.baiyi.opscloud.common.util.BeanCopierUtil,5,13,4
com.baiyi.opscloud.domain.vo.base.ReadableTime$ILater,0,2,1
com.baiyi.opscloud.aspect.BusinessObjectClearAspect,14,8,3
com.baiyi.opscloud.service.user.UserService,6,19,171
com.baiyi.opscloud.domain.param.kubernetes.KubernetesParam$UpdateResource,7,0,0
com.baiyi.opscloud.facade.datasource.resource.ProjectResQueryWithAliyunDevOpsSprintAsset,4,0,0
org.apache.guacamole.GuacamoleClientTimeoutException,2,4,6
com.baiyi.opscloud.domain.param.leo.LeoTemplateParam$TemplatePageQuery,8,0,0
com.baiyi.opscloud.facade.user.UserGroupFacade,4,4,6
com.baiyi.opscloud.datasource.ansible.play.task.ServerTaskPlayTask,6,9,0
com.baiyi.opscloud.domain.param.project.ProjectParam$AddProject,6,0,0
com.baiyi.opscloud.datasource.aws.iam.entity.IamPolicy$Policy,8,1,0
com.baiyi.opscloud.facade.terminal.impl.TerminalReportFacadeImplTest,5,1,0
com.baiyi.opscloud.datasource.aliyun.ons.entity.OnsInstanceV5,1,0,0
com.baiyi.opscloud.datasource.jenkins.model.BuildResult,0,0,0
com.baiyi.opscloud.domain.model.property.ServerProperty$Zabbix,7,3,0
com.baiyi.opscloud.zabbix.v5.driver.ZabbixV5UserGroupDriver,14,8,10
com.baiyi.opscloud.datasource.jenkins.model.BuildWithDetails$Anonymous2,4,5,10
com.baiyi.opscloud.datasource.jenkins.model.BuildWithDetails$Anonymous1,4,5,10
com.baiyi.opscloud.util.SystemUtilsTest,2,1,0
com.baiyi.opscloud.datasource.nacos.param.NacosPageParam,0,0,0
com.baiyi.opscloud.domain.param.tag.BusinessTagParam$UniqueKeyQuery,3,0,0
com.baiyi.opscloud.datasource.aliyun.acr.entity.AliyunAcr$InstanceSpecification,1,1,0
com.baiyi.opscloud.leo.handler.deploy.strategy.notification.base.BaseNotificationStrategy,14,6,6
com.baiyi.opscloud.core.asset.impl.base.AbstractAssetToBO,14,11,21
com.baiyi.opscloud.facade.server.SimpleServerNameFacade,7,12,9
com.baiyi.opscloud.mapper.AuthRoleMapper,1,1,0
com.baiyi.opscloud.domain.generator.opscloud.AuthGroup,5,0,0
com.baiyi.opscloud.domain.generator.opscloud.SerDeployTask,8,0,0
com.baiyi.opscloud.leo.handler.deploy.strategy.boot.base.BootDeployStrategy,9,3,3
com.baiyi.opscloud.domain.param.terminal.TerminalSessionInstanceCommandParam$InstanceCommandPageQuery,8,0,0
com.baiyi.opscloud.common.exception.am.CreateUserException,4,3,3
com.baiyi.opscloud.factory.gitlab.impl.GitLabKeyEventConsumer,9,6,6
com.baiyi.opscloud.util.OptionsUtil,3,6,15
com.baiyi.opscloud.sshserver.command.AvailabilityException,0,2,1
com.baiyi.opscloud.util.IdUtilTest,2,1,0
com.baiyi.opscloud.sshcore.model.UserSessionsOutput,3,0,0
com.baiyi.opscloud.datasource.jenkins.model.BuildWithDetails$Anonymous4,0,1,0
com.baiyi.opscloud.kubernetes.terminal.factory.KubernetesTerminalMessageHandlerFactory,1,2,0
com.baiyi.opscloud.datasource.jenkins.model.BuildWithDetails$Anonymous3,0,1,0
com.baiyi.opscloud.datasource.apollo.ApolloTest,7,2,1
com.baiyi.opscloud.domain.param.leo.LeoJobParam,2,0,0
com.baiyi.opscloud.domain.vo.workorder.WorkOrderTicketVO$ITicketEntries,2,2,1
com.baiyi.opscloud.service.template.TemplateService,3,7,21
com.baiyi.opscloud.configuration.WebSocketConfiguration,8,2,1
com.baiyi.opscloud.service.server.impl.ServerGroupTypeServiceImpl,10,7,0
com.baiyi.opscloud.common.datasource.MeterSphereConfig,4,0,0
com.baiyi.opscloud.datasource.jenkins.model.Computer,6,17,0
com.baiyi.opscloud.domain.param.datasource.AliyunLogMemberParam,2,0,0
com.baiyi.opscloud.zabbix.v5.entity.ZabbixHost$HostTag,2,0,0
com.baiyi.opscloud.domain.vo.datasource.aliyun.AliyunLogMemberVO$LogMember,11,1,0
com.baiyi.opscloud.domain.base.BaseBusiness,1,0,0
com.baiyi.opscloud.datasource.dingtalk.entity.DingtalkUser$User,7,1,0
com.baiyi.opscloud.leo.message.handler.impl.build.SubscribeLeoBuildRequestHandler,13,5,6
com.baiyi.opscloud.common.datasource.AwsConfig$SerDeploy,3,0,0
com.baiyi.opscloud.domain.param.kubernetes.KubernetesServiceParam$DeleteResource,7,0,0
com.baiyi.opscloud.facade.workorder.WorkOrderTicketFacade,13,15,105
com.baiyi.opscloud.datasource.nacos.feign.NacosClusterV1Feign,4,1,0
com.baiyi.opscloud.packer.template.MessageTemplatePacker,6,2,0
com.baiyi.opscloud.zabbix.v5.feign.ZabbixUserGroupFeign,5,2,1
com.baiyi.opscloud.workorder.processor.impl.ApplicationReduceReplicasTicketProcessor,17,17,28
com.baiyi.opscloud.workorder.query.impl.NexusEntryQuery,2,1,0
com.baiyi.opscloud.domain.vo.business.BusinessPropertyVO$Property,6,0,0
com.baiyi.opscloud.leo.interceptor.rule.RuleValidator,17,11,10
com.baiyi.opscloud.domain.param.task.ServerTaskParam$SubmitServerTask,5,0,0
com.baiyi.opscloud.domain.vo.sys.AnnouncementVO,0,0,0
com.baiyi.opscloud.domain.base.IRecover,0,1,0
com.baiyi.opscloud.domain.param.datasource.DsInstanceScheduleParam$DeleteJob,4,0,0
com.baiyi.opscloud.datasource.sonar.feign.SonarMeasuresFeign,5,1,0
com.baiyi.opscloud.domain.param.auth.AuthRoleResourceParam,1,0,0
com.baiyi.opscloud.leo.domain.model.LeoJobModel$Job,13,0,0
com.baiyi.opscloud.domain.param.user.UserParam$UpdateUser,5,0,0
com.baiyi.opscloud.datasource.facade.am.IdentityAndAccessManagementProcessor,29,17,16
com.baiyi.opscloud.util.PropertyUtilTest,2,1,0
com.baiyi.opscloud.facade.user.impl.UserCredentialFacadeImpl,12,13,0
com.baiyi.opscloud.service.event.impl.EventServiceImpl,9,7,0
com.baiyi.opscloud.sshserver.listeners.event.impl.SshShellStoppedEvent,6,2,1
com.baiyi.opscloud.zabbix.v5.driver.ZabbixV5ProblemDriver,17,8,15
com.baiyi.opscloud.mapper.AliyunLogMapper,1,0,0
com.baiyi.opscloud.service.leo.LeoRuleService,3,7,21
com.baiyi.opscloud.packer.application.ApplicationArmsPacker,14,6,1
com.baiyi.opscloud.datasource.business.server.impl.ZabbixHostServerHandler,13,13,15
com.baiyi.opscloud.domain.param.workevent.WorkEventParam$WorkItemQuery,7,0,0
com.baiyi.opscloud.datasource.jenkins.model.JacocoCoverageResult,2,5,10
com.baiyi.opscloud.facade.server.impl.ServerFacadeImpl,27,8,0
com.baiyi.opscloud.domain.param.user.UserSettingParam,0,0,0
com.baiyi.opscloud.domain.generator.opscloud.DatasourceInstanceAssetProperty,8,0,0
com.baiyi.opscloud.zabbix.v5.entity.ZabbixHostGroup$HostGroup,8,1,0
com.baiyi.opscloud.domain.model.property.ServerProperty$Macro,5,0,0
com.baiyi.opscloud.domain.vo.auth.UserRoleVO$UserRole,5,0,0
com.baiyi.opscloud.sshserver.command.custom.kubernetes.base.BaseKubernetesCommand,8,1,0
com.baiyi.opscloud.domain.model.Authorization,2,1,0
com.baiyi.opscloud.service.ser.SerDeploySubtaskService,1,5,10
com.baiyi.opscloud.alert.strategy.IAlertStrategy,2,2,1
com.baiyi.opscloud.common.util.HostUtil,1,5,6
com.baiyi.opscloud.leo.exception.LeoJobException,4,2,0
com.baiyi.opscloud.datasource.dingtalk.entity.DingtalkMessage$MessageResponse,6,0,0
com.baiyi.opscloud.datasource.aliyun.provider.AliyunAcrNamespaceProvider,18,13,26
com.baiyi.opscloud.domain.vo.user.AccessManagementVO$RAM,5,0,0
com.baiyi.opscloud.workorder.constants.SubscribeStatusConstants,1,1,0
