cbo,wmc,lcom
13,3,3
3,1,0
10,8,0
5,7,21
0,4,6
7,3,0
0,4,6
8,3,0
7,1,0
11,3,0
4,1,0
8,3,3
2,1,0
4,1,0
8,15,83
0,2,0
6,3,0
2,2,1
6,3,1
4,5,0
2,1,0
3,1,0
2,4,2
3,1,0
5,1,0
2,1,0
3,1,0
4,1,0
10,5,1
4,1,0
11,4,0
1,8,20
8,5,0
3,3,3
5,13,42
4,1,0
9,3,1
5,1,0
12,4,6
7,5,0
4,1,0
19,10,0
3,1,0
12,10,0
6,2,1
3,1,0
2,3,3
8,5,10
1,1,0
7,4,0
9,6,15
8,8,28
4,1,0
1,0,0
1,1,0
4,1,0
10,2,0
2,1,0
4,1,0
4,1,0
2,5,10
7,1,0
4,0,0
6,1,0
6,5,10
2,1,0
1,1,0
4,0,0
3,1,0
3,1,0
6,3,1
7,5,0
2,1,0
2,1,0
4,2,1
2,1,0
1,4,6
3,1,0
4,1,0
1,1,0
12,5,1
8,2,1
2,4,2
8,18,135
4,1,0
2,1,0
4,1,0
9,5,0
5,8,20
2,1,0
3,1,0
3,1,0
3,1,0
5,14,35
7,2,0
5,2,1
8,5,0
11,4,6
7,2,0
2,1,0
1,12,26
4,1,0
4,1,0
2,4,6
6,7,1
2,1,0
2,1,0
3,3,3
4,1,0
4,1,0
6,1,0
11,4,0
2,1,0
7,4,0
6,1,0
8,2,0
4,1,0
2,1,0
2,1,0
11,6,0
2,1,0
1,6,0
5,1,0
2,1,0
12,9,16
2,5,10
4,2,1
2,1,0
3,1,0
3,1,0
12,9,0
4,3,0
12,6,15
2,1,0
4,14,59
3,1,0
4,1,0
4,1,0
8,4,0
4,1,0
4,1,0
2,1,0
4,1,0
7,1,0
9,5,0
2,1,0
2,0,0
11,15,83
2,5,10
2,1,0
2,4,2
2,11,17
8,5,0
7,5,0
6,3,0
6,3,0
4,14,59
3,1,0
3,2,0
3,1,0
6,6,3
3,1,0
8,12,54
2,1,0
6,1,0
5,7,3
7,1,0
3,1,0
7,3,0
3,1,0
2,4,2
4,10,35
3,1,0
2,1,0
2,2,1
1,0,0
7,1,0
1,4,6
4,0,0
0,12,54
3,4,2
8,5,10
3,1,0
3,1,0
8,2,0
4,1,0
4,1,0
6,3,3
1,0,0
2,1,0
10,4,1
2,3,3
7,1,0
7,4,0
4,1,0
4,1,0
5,1,0
7,2,0
10,4,6
4,17,88
4,1,0
1,5,10
6,7,3
2,1,0
3,1,0
9,3,1
13,8,0
0,7,3
4,1,0
2,1,0
2,1,0
1,12,26
13,19,24
4,1,0
4,1,0
6,3,3
5,1,0
2,1,0
4,1,0
4,1,0
4,1,0
2,0,0
3,1,0
6,2,0
2,1,0
12,4,0
3,1,0
2,1,0
3,3,3
8,12,54
3,3,0
5,5,0
6,3,1
2,1,0
2,5,0
9,3,0
4,1,0
4,2,1
3,1,0
9,4,6
0,0,0
3,1,0
2,1,0
12,3,3
8,2,1
2,1,0
3,1,0
4,1,0
4,4,6
3,3,3
4,1,0
4,1,0
4,1,0
7,1,0
3,1,0
5,7,21
2,1,0
9,5,0
9,5,0
6,3,1
2,1,0
7,3,0
8,5,10
2,1,0
8,5,0
1,0,0
12,16,0
11,4,0
7,6,3
1,0,0
5,1,0
2,1,0
4,1,0
6,3,0
5,5,10
8,18,135
7,14,59
4,8,20
2,1,0
2,1,0
7,4,0
4,6,9
4,1,0
2,1,0
2,4,6
4,1,0
4,1,0
4,1,0
6,1,0
6,1,0
3,1,0
5,2,1
12,9,16
2,1,0
2,5,10
5,1,0
5,7,21
6,2,1
12,6,0
0,0,0
2,1,0
0,4,6
4,1,0
4,3,3
4,0,0
3,1,0
6,2,1
